,studentID,collegeID,earlyAppl,visited,alumni,outofstate,acceptStatus,acceptProb
0,CV5ZTSTT03,UCB,-1.0,,-1.0,-1.0,-1.0,
1,CV5ZTSTT03,UCLA,-1.0,,-1.0,-1.0,1.0,
0,I1XTVJ3NK4,UChicago,-1.0,,1.0,1.0,-1.0,
0,MWKUOON0NH,CarnegieMellon,-1.0,,-1.0,1.0,-1.0,
1,MWKUOON0NH,Dartmouth,-1.0,,-1.0,1.0,-1.0,
2,MWKUOON0NH,CalTech,-1.0,,-1.0,1.0,-1.0,
3,MWKUOON0NH,Northwestern,-1.0,,-1.0,1.0,-1.0,
0,0HZFYG8FGH,UPenn,-1.0,,-1.0,1.0,-1.0,
1,0HZFYG8FGH,UCB,-1.0,,-1.0,-1.0,-1.0,
2,0HZFYG8FGH,UCLA,-1.0,,-1.0,-1.0,-1.0,
0,EW7UZWSG8J,Georgetown,1.0,,-1.0,1.0,1.0,
0,7XQWSCMTZ8,Stanford,-1.0,,-1.0,-1.0,-1.0,
1,7XQWSCMTZ8,UCB,-1.0,,-1.0,-1.0,-1.0,
2,7XQWSCMTZ8,UCLA,-1.0,,-1.0,-1.0,1.0,
3,7XQWSCMTZ8,USC,-1.0,,-1.0,-1.0,1.0,
0,M1CG9SFPPT,Brown,-1.0,,-1.0,1.0,1.0,
0,ZKHSIQ9SPB,Duke,-1.0,,-1.0,1.0,1.0,
0,THSBLI5C56,UCB,-1.0,,-1.0,-1.0,-1.0,
1,THSBLI5C56,UCLA,-1.0,,-1.0,-1.0,-1.0,
0,VDJ8ROKKCL,NotreDame,1.0,,-1.0,1.0,-1.0,
0,94P61VILFB,Columbia,-1.0,,-1.0,1.0,-1.0,
1,94P61VILFB,UCLA,-1.0,,-1.0,-1.0,-1.0,
0,RZ1ZL9WP1F,UPenn,-1.0,,-1.0,1.0,0.0,
1,RZ1ZL9WP1F,Princeton,-1.0,,-1.0,-1.0,0.0,
2,RZ1ZL9WP1F,Brown,-1.0,,-1.0,1.0,0.0,
3,RZ1ZL9WP1F,Yale,-1.0,,-1.0,1.0,0.0,
4,RZ1ZL9WP1F,Dartmouth,-1.0,,-1.0,1.0,0.0,
5,RZ1ZL9WP1F,Harvard,1.0,,-1.0,1.0,1.0,
6,RZ1ZL9WP1F,Cornell,-1.0,,-1.0,1.0,0.0,
7,RZ1ZL9WP1F,Duke,-1.0,,-1.0,1.0,0.0,
0,Q2FRFSFW8J,Columbia,1.0,,-1.0,1.0,1.0,
0,911MU875UY,Rice,1.0,,-1.0,1.0,1.0,
0,DF1KQQP9AB,Harvard,-1.0,,-1.0,1.0,1.0,
0,867EPOGIF0,UCB,-1.0,,-1.0,-1.0,-1.0,
1,867EPOGIF0,UCLA,-1.0,,-1.0,-1.0,-1.0,
0,XZE8R94C92,JohnsHopkins,1.0,,-1.0,1.0,1.0,
0,0NEWGRWIG1,MIT,-1.0,,-1.0,1.0,-1.0,
1,0NEWGRWIG1,CarnegieMellon,-1.0,,-1.0,1.0,1.0,
2,0NEWGRWIG1,Rice,-1.0,,-1.0,1.0,-1.0,
3,0NEWGRWIG1,Cornell,-1.0,,-1.0,1.0,1.0,
4,0NEWGRWIG1,JohnsHopkins,-1.0,,-1.0,-1.0,-1.0,
5,0NEWGRWIG1,Vanderbilt,-1.0,,-1.0,1.0,-1.0,
